Zainteresowanie e-sport,id_esport,id_dop,Indeks
Tak ogl¹dam livestreamy z rozgrywek,4,84,102
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,85,103
Tak œledzê wyniki dru¿yn e-sportowych,5,86,104
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,87,105
Nie wiem co to e-sport,2,88,106
Nie interesuje siê e-sportem,1,89,107
Tak œledzê wyniki dru¿yn e-sportowych,5,90,108
Tak ogl¹dam livestreamy z rozgrywek,4,90,109
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,91,110
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,92,111
Tak œledzê wyniki dru¿yn e-sportowych,5,93,112
Tak ogl¹dam livestreamy z rozgrywek,4,94,113
Tak œledzê wyniki dru¿yn e-sportowych,5,95,114
Tak ogl¹dam livestreamy z rozgrywek,4,95,115
Nie wiem co to e-sport,2,96,116
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,97,117
Tak œledzê wyniki dru¿yn e-sportowych,5,98,118
Tak ogl¹dam livestreamy z rozgrywek,4,98,119
Nie interesuje siê e-sportem,1,99,120
Nie interesuje siê e-sportem,1,100,121
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,101,122
Nie interesuje siê e-sportem,1,102,123
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,103,124
Tak ogl¹dam livestreamy z rozgrywek,4,104,125
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,105,126
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,106,127
Tak ogl¹dam livestreamy z rozgrywek,4,107,128
Tak ogl¹dam livestreamy z rozgrywek,4,108,129
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,109,130
Tak œledzê wyniki dru¿yn e-sportowych,5,110,131
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,111,132
Tak ogl¹dam livestreamy z rozgrywek,4,112,133
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,113,134
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,114,135
Tak œledzê wyniki dru¿yn e-sportowych,5,115,136
Tak ogl¹dam livestreamy z rozgrywek,4,115,137
Tak ogl¹dam livestreamy z rozgrywek,4,116,138
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,117,139
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,118,140
Tak ogl¹dam livestreamy z rozgrywek,4,119,141
Nie wiem co to e-sport,2,120,142
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,121,143
Tak œledzê wyniki dru¿yn e-sportowych,5,122,144
Tak ogl¹dam livestreamy z rozgrywek,4,122,145
Tak ogl¹dam livestreamy z rozgrywek,4,123,146
Nie interesuje siê e-sportem,1,124,147
Nie interesuje siê e-sportem,1,125,148
Tak ogl¹dam livestreamy z rozgrywek,4,126,149
Tak œledzê wyniki dru¿yn e-sportowych,5,127,150
Tak ogl¹dam livestreamy z rozgrywek,4,127,151
Tak œledzê wyniki dru¿yn e-sportowych,5,128,152
Tak ogl¹dam livestreamy z rozgrywek,4,128,153
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,129,154
Tak ogl¹dam livestreamy z rozgrywek,4,130,155
Tak ogl¹dam livestreamy z rozgrywek,4,131,156
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,131,157
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,132,158
Tak ogl¹dam livestreamy z rozgrywek,4,133,159
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,134,160
Tak ogl¹dam livestreamy z rozgrywek,4,135,161
Nie interesuje siê e-sportem,1,136,162
Tak ogl¹dam livestreamy z rozgrywek,4,137,163
Tak œledzê wyniki dru¿yn e-sportowych,5,138,164
Tak ogl¹dam livestreamy z rozgrywek,4,138,165
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,139,166
Nie interesuje siê e-sportem,1,140,167
Nie œledzê za czêsto wyników lub livestreamów z rozgrywek ale wiem co to esport,3,141,168
Tak œledzê wyniki dru¿yn e-sportowych,5,142,169
Tak ogl¹dam livestreamy z rozgrywek,4,142,170
Tak ogl¹dam livestreamy z rozgrywek,4,143,171
