id_przech_odp_regularne_gry,id_odp,id_gry_regularne,Gry regularne
209,142,4,Counter-Strike: Global Offensive
210,142,26,Rocket League
211,143,26,Rocket League
212,143,31,Tom Clancy’s Rainbow Six Siege
213,144,14,Hearthstone
214,145,21,Nie gram w nic regularnie
215,146,14,Hearthstone
216,146,7,Dota 2
217,147,21,Nie gram w nic regularnie
218,148,22,Overwatch
219,149,3,Call of Duty
220,150,21,Nie gram w nic regularnie
221,151,14,Hearthstone
222,152,7,Dota 2
223,153,22,Overwatch
224,154,21,Nie gram w nic regularnie
225,155,17,League of legends
226,156,14,Hearthstone
227,156,4,Counter-Strike: Global Offensive
228,157,21,Nie gram w nic regularnie
229,158,21,Nie gram w nic regularnie
230,159,14,Hearthstone
231,159,17,League of legends
232,160,21,Nie gram w nic regularnie
233,161,21,Nie gram w nic regularnie
234,162,17,League of legends
235,163,14,Hearthstone
236,164,21,Nie gram w nic regularnie
237,165,17,League of legends
238,166,4,Counter-Strike: Global Offensive
239,167,14,Hearthstone
240,167,4,Counter-Strike: Global Offensive
241,168,21,Nie gram w nic regularnie
242,169,14,Hearthstone
243,169,2,Battlefield
244,170,22,Overwatch
245,170,14,Hearthstone
246,170,16,Heroes of the Storm
247,171,22,Overwatch
248,171,17,League of legends
249,172,5,Crypt of Necrodancer
250,173,7,Dota 2
251,174,21,Nie gram w nic regularnie
252,175,21,Nie gram w nic regularnie
253,176,12,Gwint
254,177,21,Nie gram w nic regularnie
255,178,21,Nie gram w nic regularnie
256,179,17,League of legends
257,180,21,Nie gram w nic regularnie
258,181,4,Counter-Strike: Global Offensive
259,182,4,Counter-Strike: Global Offensive
260,183,21,Nie gram w nic regularnie
261,184,14,Hearthstone
262,185,17,League of legends
263,186,7,Dota 2
264,187,7,Dota 2
265,188,17,League of legends
266,188,4,Counter-Strike: Global Offensive
267,189,17,League of legends
268,190,21,Nie gram w nic regularnie
269,191,28,Starcraft 2
270,192,21,Nie gram w nic regularnie
271,193,22,Overwatch
272,193,14,Hearthstone
273,193,17,League of legends
274,194,21,Nie gram w nic regularnie
275,195,17,League of legends
276,196,17,League of legends
277,197,35,World of Tanks
278,198,4,Counter-Strike: Global Offensive
279,198,16,Heroes of the Storm
280,199,21,Nie gram w nic regularnie
