Dru¿yny,id_druzyna,id_odp,id_przech_odp_druzyny
Nie mia³bym/mia³abym dru¿yny do Tekken Tag Tournament 2,26,129,150
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,130,151
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,131,152
Mia³bym/mia³abym ca³¹ dru¿ynê do Counter-Strike: Global Offensive,1,131,153
Nie mia³bym/mia³abym dru¿yny do Overwatch,24,132,154
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,133,155
Nie dotyczy,16,134,156
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,135,157
Nie dotyczy,16,136,158
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,137,159
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,137,160
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,138,161
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,139,162
Nie dotyczy,16,140,163
Nie mia³bym/mia³abym dru¿yny do League of legends,23,141,164
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,142,165
Mia³bym/mia³abym czêœæ dru¿yny do Rocket League,14,142,166
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,143,167
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,143,168
Nie dotyczy,16,144,169
Nie dotyczy,16,145,170
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,146,171
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,146,172
Nie dotyczy,16,147,173
Mia³bym/mia³abym czêœæ dru¿yny do Overwatch,13,148,174
Nie mia³bym/mia³abym dru¿yny do Call of Duty,19,149,175
Nie dotyczy,16,150,176
Nie dotyczy,16,151,177
Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,2,152,178
Mia³bym/mia³abym ca³¹ dru¿ynê do Overwatch,7,153,179
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,153,180
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,153,181
Nie dotyczy,16,154,182
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,155,183
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,156,184
Nie dotyczy,16,157,185
Nie dotyczy,16,158,186
Mia³bym/mia³abym czêœæ dru¿yny do Overwatch,13,159,187
Mia³bym/mia³abym czêœæ dru¿yny do League of legends,12,159,188
Mia³bym/mia³abym czêœæ dru¿yny do Counter-Strike: Global Offensive,10,159,189
Nie dotyczy,16,160,190
Nie dotyczy,16,161,191
Nie mia³bym/mia³abym dru¿yny do League of legends,23,162,192
Nie dotyczy,16,163,193
Nie dotyczy,16,164,194
Nie mia³bym/mia³abym dru¿yny do League of legends,23,165,195
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,166,196
Nie mia³bym/mia³abym dru¿yny do Counter-Strike: Global Offensive,20,167,197
Nie dotyczy,16,168,198
Nie dotyczy,16,169,199
Nie mia³bym/mia³abym dru¿yny do Overwatch,24,170,200
Nie mia³bym/mia³abym dru¿yny do League of legends,23,171,201
Nie dotyczy,16,172,202
Mia³bym/mia³abym ca³¹ dru¿ynê do Dota 2,2,173,203
Nie dotyczy,16,174,204
Nie dotyczy,16,175,205
Nie dotyczy,16,176,206
Nie dotyczy,16,177,207
Nie dotyczy,16,178,208
Mia³bym/mia³abym ca³¹ dru¿ynê do League of legends,6,179,209
Nie dotyczy,16,180,210
