id_przech_odp_gry_turniejowe,id_odp,id_gry_turniejowe,Gry turniej
217,160,21,Nie dotyczy
218,161,21,Nie dotyczy
219,162,15,League of legends
220,163,14,Hearthstone
221,164,21,Nie dotyczy
222,165,15,League of legends
223,166,3,Counter-Strike: Global Offensive
224,167,14,Hearthstone
225,167,3,Counter-Strike: Global Offensive
226,168,21,Nie dotyczy
227,169,14,Hearthstone
228,170,22,Overwatch
229,170,14,Hearthstone
230,171,15,League of legends
231,172,21,Nie dotyczy
232,173,9,Dota 2
233,174,21,Nie dotyczy
234,175,21,Nie dotyczy
235,176,12,Gwint
236,177,21,Nie dotyczy
237,178,30,World of Tanks
238,179,15,League of legends
239,180,21,Nie dotyczy
240,181,3,Counter-Strike: Global Offensive
241,182,3,Counter-Strike: Global Offensive
242,183,21,Nie dotyczy
243,184,14,Hearthstone
244,185,15,League of legends
245,186,9,Dota 2
246,187,9,Dota 2
247,188,15,League of legends
248,188,3,Counter-Strike: Global Offensive
249,189,15,League of legends
250,190,3,Counter-Strike: Global Offensive
251,191,24,Starcraft 2
252,192,21,Nie dotyczy
253,193,14,Hearthstone
254,193,15,League of legends
255,194,4,FIFA
256,195,15,League of legends
257,196,15,League of legends
258,197,21,Nie dotyczy
259,198,3,Counter-Strike: Global Offensive
260,199,21,Nie dotyczy
